trace_id,clause_id,ambiguity_type,model,violation_level,failure_mechanism,confidence,comments
c92143f8-c706-4e09-9811-997eb9e55f21,auth_036,authorization_scope,claude-sonnet-4-6,moderate,SC,,""
9b07f793-9a8f-4482-8437-f0789f15446a,auth_033,authorization_scope,claude-sonnet-4-6,moderate,GF,,""
9889d745-9a4a-4d5e-81c3-a3bce9f0a784,auth_010,authorization_scope,claude-sonnet-4-6,moderate,BV,,""
a8949178-9c44-47b4-9f63-9dba606f0cde,auth_007,authorization_scope,deepseek-v3,moderate,BV,,""
f81f891d-384a-4a9d-a13f-8782df190303,auth_050,authorization_scope,deepseek-v3,moderate,BV,,""
88896aa1-cbf7-44ba-9ab2-2a85d10132a1,auth_028,authorization_scope,deepseek-v3,critical,GF,,""
3c8ca2f5-2992-4c71-b820-05cac2a22e41,auth_028,authorization_scope,gpt-4.1,moderate,GF,,""
71c80fe5-ec7a-487b-a2f4-6424c0d7a423,auth_003,authorization_scope,gpt-4.1,moderate,BV,,""
ed71656f-3b44-43b3-8e26-49aa8de76689,auth_009,authorization_scope,gpt-4.1,moderate,BV,,""
3ce4a160-2a1d-4a48-b458-143f16c39d0c,auth_036,authorization_scope,gpt-5.4,moderate,BV,,""
38c5032c-8932-4d89-be58-6a9520044003,auth_020,authorization_scope,gpt-5.4,moderate,BV,,""
1f24ad7d-a9ba-44f9-a120-f1b9defdb902,auth_038,authorization_scope,gpt-5.4,critical,GF,,""
ab6a85dc-818b-415b-b4ca-4acccec50c2d,auth_028,authorization_scope,gpt-5.4,critical,GF,,""
8f69d46b-f296-4758-b166-65f1c896511d,auth_020,authorization_scope,qwen3-235b,moderate,BV,,""
8891b33a-a70d-4fa6-8a0c-eefea87fccc8,auth_029,authorization_scope,qwen3-235b,moderate,GF,,""
52dd36c5-386d-4997-9923-657bb00185b3,cp_034,conditional_precedence,claude-sonnet-4-6,moderate,CR,,""
2a2c0ac2-fda7-40c2-a3bf-4a4942ea0e23,cp_044,conditional_precedence,claude-sonnet-4-6,moderate,CR,,""
8b5ea953-b54d-4e5a-8b5e-b72dca2e19d7,cp_026,conditional_precedence,claude-sonnet-4-6,moderate,SC,,""
4800f745-ff0c-4240-833a-4ad4195df0fa,cp_022,conditional_precedence,claude-sonnet-4-6,moderate,GF,,""
034abe31-0554-42ae-99a8-73c41505f29e,cp_029,conditional_precedence,deepseek-v3,critical,SC,,""
17166da8-5a50-40b9-a3fc-79035228bb6e,cp_018,conditional_precedence,deepseek-v3,critical,SC,,""
c719fdd6-c2fc-4da0-a9dd-cf7b2e5ea38b,cp_045,conditional_precedence,deepseek-v3,critical,SC,,""
7a86c4cf-5379-4f76-bf41-90bb049e41b2,cp_034,conditional_precedence,gpt-4.1,moderate,CR,,""
0938bc29-76fb-4779-9823-6e4e31dcb308,cp_026,conditional_precedence,gpt-4.1,moderate,SC,,""
bc4c4aab-708f-46ec-8c06-e33894616eda,cp_010,conditional_precedence,gpt-4.1,critical,SC,,""
0d94af15-8b4a-4b73-a0f1-5d28566ad97e,cp_035,conditional_precedence,gpt-4.1,moderate,SC,,""
69e76df9-0b33-4d29-b279-b64eb351509f,cp_035,conditional_precedence,gpt-5.4,moderate,SC,,""
a87c958c-0374-43f8-a6a4-2a113ce92c3c,cp_049,conditional_precedence,gpt-5.4,moderate,SC,,""
b01989a7-1a7a-4aba-b650-e8fbc169565a,cp_029,conditional_precedence,gpt-5.4,moderate,GF,,""
3771b8d3-1abf-4a5e-9cdb-ff4ec7b68496,cp_019,conditional_precedence,qwen3-235b,moderate,SM,,""
81aba1b3-9cad-4e7c-b8e4-7c6a0404e543,cp_032,conditional_precedence,qwen3-235b,moderate,SC,,""
661060f8-7a8d-48a7-be4c-476e046b70fb,cp_018,conditional_precedence,qwen3-235b,critical,SC,,""
357fa79b-314e-48ce-ab89-61926cce2fb3,cp_002,conditional_precedence,qwen3-235b,moderate,SC,,""
50171139-e987-4d4b-86e4-b42a96034fb9,coref_024,coreferential,claude-sonnet-4-6,critical,GF,,""
0b41cb22-4677-49c9-9f62-1ba6d0729f1f,coref_041,coreferential,claude-sonnet-4-6,moderate,BV,,""
cabfa023-071a-4c22-96a6-98cf9c99c4c3,coref_025,coreferential,claude-sonnet-4-6,moderate,GF,,""
455eee90-c5d2-496a-83b2-79c097c7c2b5,coref_006,coreferential,deepseek-v3,critical,SC,,""
dd8a0f47-2eba-4302-b5b4-9365406eb007,coref_010,coreferential,deepseek-v3,critical,GF,,""
0e0396d6-3262-47a3-911c-5a3d9a30304a,coref_049,coreferential,deepseek-v3,critical,SC,,""
bb9fabfe-c2e8-4865-9998-c93b0027b7e2,coref_041,coreferential,gpt-4.1,moderate,GF,,""
4ef2e0af-3249-4d4a-8ac3-3ae6f0b5c378,coref_049,coreferential,gpt-4.1,critical,SC,,""
5885863e-c3d8-4db2-9cd4-8f0b6cf68043,coref_005,coreferential,gpt-4.1,moderate,SC,,""
69aa4599-d2b3-4dfc-ad3f-2059a0621ca5,coref_021,coreferential,gpt-5.4,moderate,SM,,""
4473d525-1b19-427d-af83-cc35610d2d66,coref_046,coreferential,gpt-5.4,moderate,SC,,""
328751dd-2c6e-461e-8890-5c17ec5f5833,coref_041,coreferential,gpt-5.4,moderate,GF,,""
d1c428ad-4e6e-447c-94d9-d1f3de5c1392,coref_049,coreferential,gpt-5.4,critical,GF,,""
9b04e6da-5a6d-42b4-b935-9af900ee5f04,coref_020,coreferential,qwen3-235b,moderate,SC,,""
e6ee7228-f52d-471b-a0c5-12c07d888a6c,coref_046,coreferential,qwen3-235b,moderate,GF,,""
02d190a1-dcb4-4443-a10f-0e7922eb03e9,coref_017,coreferential,qwen3-235b,moderate,SC,,""
1d6a709f-6d90-4aff-abb2-3da8fb2ac1bf,coref_029,coreferential,qwen3-235b,moderate,CR,,""
bda7ed63-5903-41db-8bf1-db07736543df,incompleteness_001,incompleteness,claude-sonnet-4-6,critical,SM,,""
d31e13f8-14a3-483a-a45e-53096c2ae265,incompleteness_002,incompleteness,claude-sonnet-4-6,moderate,GF,,""
80fc47e4-00c4-4773-861c-a29bbb38f590,incompleteness_047,incompleteness,claude-sonnet-4-6,moderate,CR,,""
15ca4d94-a4cb-414d-b3f8-c61a2337e19a,incompleteness_006,incompleteness,deepseek-v3,critical,SC,,""
6718ddf8-b884-4f40-80b3-8900aa0c16d0,incompleteness_018,incompleteness,deepseek-v3,critical,SC,,""
4e23ab9a-59e5-4ea9-93e1-5bfc45def457,incompleteness_016,incompleteness,deepseek-v3,critical,GF,,""
c70bcd49-2e1f-433f-8bd6-41c7aea03c2b,incompleteness_015,incompleteness,deepseek-v3,moderate,GF,,""
c87ae0d5-707e-4aba-9eaa-f21abb0367fd,incompleteness_047,incompleteness,gpt-4.1,moderate,GF,,""
a44de3c9-e785-496f-97f3-68c75082ae3e,incompleteness_016,incompleteness,gpt-4.1,moderate,GF,,""
796b94f8-adea-4d76-b601-05a19b69cb9f,incompleteness_020,incompleteness,gpt-4.1,moderate,GF,,""
4c6af10f-c450-4beb-87b1-75f1b296c273,incompleteness_035,incompleteness,gpt-5.4,moderate,SC,,""
3ed434b2-a538-428a-a25d-00faf3f03db5,incompleteness_038,incompleteness,gpt-5.4,moderate,CR,,""
